sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
ps-1-water-16-11-2021	538315	162659	30.22	157012	97023	18.02	93940	17.45
ps-2-water-16-11-2021	582343	176187	30.25	170511	107365	18.44	104130	17.88
ps-3-water-16-11-2021	590278	158713	26.89	153117	95794	16.23	92352	15.65
ps1-rock	561949	141680	25.21	137660	82209	14.63	80228	14.28
ps2-rock	593828	180484	30.39	175742	90394	15.22	88601	14.92
R1C-02-09-2021	586922	196620	33.5	191807	116912	19.92	114618	19.53
R1C-19-08-2021	562261	180008	32.02	168521	97183	17.28	92652	16.48
R1N-02-09-2021	608706	196201	32.23	191110	115636	19	112781	18.53
R1N-19-08-2021	477354	150418	31.51	140885	83456	17.48	79958	16.75
R1S-02-09-2021	572224	163159	28.51	159326	93592	16.36	90960	15.9
R1S-19-08-2021	514347	90043	17.51	84090	43373	8.43	41873	8.14
R2C-02-09-2021	533831	153378	28.73	148625	88564	16.59	85297	15.98
R2C-19-08-2021	558195	193784	34.72	184229	113871	20.4	108289	19.4
R2N-02-09-2021	547584	117633	21.48	112863	63329	11.57	62636	11.44
R2N-19-08-2021	556334	177818	31.96	166304	94527	16.99	90674	16.3
R2S-02-09-2021	583322	174151	29.86	168723	97988	16.8	94960	16.28
R2S-19-08-2021	511363	112384	21.98	101950	57922	11.33	56334	11.02
U1C-02-09-2021	566894	168398	29.71	160513	89041	15.71	87268	15.39
U1N-02-09-2021	574607	168580	29.34	159929	90363	15.73	88676	15.43
U2C-02-09-2021	571574	175608	30.72	169673	101269	17.72	98666	17.26
U2C-19-08-2021	549339	135185	24.61	119749	59391	10.81	58236	10.6
U2N-02-09-2021	583488	123890	21.23	118123	62536	10.72	60875	10.43
U2N-19-08-2021	595054	150142	25.23	140738	83145	13.97	82385	13.84
U2S-02-09-2021	612998	173893	28.37	168779	96888	15.81	94369	15.39
U2S-19-08-2021	563137	163555	29.04	155517	90861	16.13	86750	15.4
