SampleID,SS,date,LandUse,Number,Position,Month,Area
R1C-2020-09-17-1,R1C,17/09/2020,R,1,C,9,R1
R1C-2020-10-01-49,R1C,1/10/20,R,1,C,10,R1
R1C-2020-10-15-51,R1C,15/10/2020,R,1,C,10,R1
R1C-2020-10-29-66,R1C,29/10/2020,R,1,C,10,R1
R1C-2020-11-12-15,R1C,12/11/20,R,1,C,11,R1
R1C-2020-12-10-20,R1C,10/12/20,R,1,C,12,R1
R1C-2020-12-24-36,R1C,24/12/2020,R,1,C,12,R1
R1N-2020-09-17-37,R1N,17/09/2020,R,1,N,9,R1
R1N-2020-10-01-38,R1N,1/10/20,R,1,N,10,R1
R1N-2020-10-29-67,R1N,29/10/2020,R,1,N,10,R1
R1N-2020-11-12-57,R1N,12/11/20,R,1,N,11,R1
R1N-2020-12-10-21,R1N,10/12/20,R,1,N,12,R1
R1N-2020-12-24-23,R1N,24/12/2020,R,1,N,12,R1
R1N-2021-01-06-45,R1N,6/1/21,R,1,N,1,R1
R1S-2020-09-17-25,R1S,17/09/2020,R,1,S,9,R1
R1S-2020-10-01-2,R1S,1/10/20,R,1,S,10,R1
R1S-2020-10-15-52,R1S,15/10/2020,R,1,S,10,R1
R1S-2020-10-29-54,R1S,29/10/2020,R,1,S,10,R1
R1S-2020-12-24-60,R1S,24/12/2020,R,1,S,12,R1
R1S-2021-01-06-9,R1S,6/1/21,R,1,S,1,R1
R2C-2020-09-17-61,R2C,17/09/2020,R,2,C,9,R2
R2C-2020-10-15-53,R2C,15/10/2020,R,2,C,10,R2
R2C-2020-11-12-58,R2C,12/11/20,R,2,C,11,R2
R2C-2021-01-06-46,R2C,6/1/21,R,2,C,1,R2
R2N-2020-10-15-88,R2N,15/10/2020,R,2,N,10,R2
R2N-2020-11-26-32,R2N,26/11/2020,R,2,N,11,R2
R2N-2021-01-06-10,R2N,6/1/21,R,2,N,1,R2
R2S-2020-10-01-27,R2S,1/10/20,R,2,S,10,R2
R2S-2020-10-15-89,R2S,15/10/2020,R,2,S,10,R2
R2S-2020-10-29-92,R2S,29/10/2020,R,2,S,10,R2
R2S-2020-11-12-41,R2S,12/11/20,R,2,S,11,R2
R2S-2020-11-26-18,R2S,26/11/2020,R,2,S,11,R2
R2S-2020-12-10-70,R2S,10/12/20,R,2,S,12,R2
R2S-2021-01-06-11,R2S,6/1/21,R,2,S,1,R2
U1C-2020-09-17-85,U1C,17/09/2020,U,1,C,9,U1
U1C-2020-10-01-3,U1C,1/10/20,U,1,C,10,U1
U1C-2020-10-15-29,U1C,15/10/2020,U,1,C,10,U1
U1C-2020-10-29-55,U1C,29/10/2020,U,1,C,10,U1
U1C-2020-11-12-31,U1C,12/11/20,U,1,C,11,U1
U1C-2020-11-26-59,U1C,26/11/2020,U,1,C,11,U1
U1C-2020-12-24-8,U1C,24/12/2020,U,1,C,12,U1
U1N-2020-09-17-13,U1N,17/09/2020,U,1,N,9,U1
U1N-2020-10-01-87,U1N,1/10/20,U,1,N,10,U1
U1N-2020-10-15-39,U1N,15/10/2020,U,1,N,10,U1
U1N-2020-10-29-68,U1N,29/10/2020,U,1,N,10,U1
U1N-2020-11-12-7,U1N,12/11/20,U,1,N,11,U1
U1N-2020-11-26-93,U1N,26/11/2020,U,1,N,11,U1
U1N-2020-12-10-34,U1N,10/12/20,U,1,N,12,U1
U1N-2020-12-24-96,U1N,24/12/2020,U,1,N,12,U1
U1N-2021-01-06-47,U1N,6/1/21,U,1,N,1,U1
U1S-2020-09-17-62,U1S,17/09/2020,U,1,S,9,U1
U1S-2020-10-01-65,U1S,1/10/20,U,1,S,10,U1
U1S-2020-10-15-30,U1S,15/10/2020,U,1,S,10,U1
U1S-2020-11-12-69,U1S,12/11/20,U,1,S,11,U1
U1S-2020-11-26-19,U1S,26/11/2020,U,1,S,11,U1
U1S-2020-12-10-35,U1S,10/12/20,U,1,S,12,U1
U1S-2020-12-24-24,U1S,24/12/2020,U,1,S,12,U1
U2C-2020-09-17-26,U2C,17/09/2020,U,2,C,9,U2
U2C-2020-10-01-28,U2C,1/10/20,U,2,C,10,U2
U2C-2020-10-15-90,U2C,15/10/2020,U,2,C,10,U2
U2C-2020-10-29-40,U2C,29/10/2020,U,2,C,10,U2
U2C-2020-11-12-42,U2C,12/11/20,U,2,C,11,U2
U2C-2020-11-26-33,U2C,26/11/2020,U,2,C,11,U2
U2C-2020-12-10-22,U2C,10/12/20,U,2,C,12,U2
U2C-2021-01-06-12,U2C,6/1/21,U,2,C,1,U2
U2N-2020-10-01-14,U2N,1/10/20,U,2,N,10,U2
U2N-2020-10-15-91,U2N,15/10/2020,U,2,N,10,U2
U2N-2020-10-29-6,U2N,29/10/2020,U,2,N,10,U2
U2N-2020-11-26-94,U2N,26/11/2020,U,2,N,11,U2
U2N-2020-12-10-71,U2N,10/12/20,U,2,N,12,U2
U2N-2020-12-24-43,U2N,24/12/2020,U,2,N,12,U2
U2N-2021-01-06-48,U2N,6/1/21,U,2,N,1,U2
U2S-2020-09-17-63,U2S,17/09/2020,U,2,S,9,U2
U2S-2020-10-01-50,U2S,1/10/20,U,2,S,10,U2
U2S-2020-10-15-4,U2S,15/10/2020,U,2,S,10,U2
U2S-2020-10-29-56,U2S,29/10/2020,U,2,S,10,U2
U2S-2020-11-12-17,U2S,12/11/20,U,2,S,11,U2
U2S-2020-12-10-95,U2S,10/12/20,U,2,S,12,U2
U2S-2020-12-24-44,U2S,24/12/2020,U,2,S,12,U2
U2S-2021-01-06-72,U2S,6/1/21,U,2,S,1,U2
R1C-01-04-2021,R1C,1/4/21,R,1,C,4,R1
R1C-04-02-2021,R1C,4/2/21,R,1,C,2,R1
R1C-04-03-2021,R1C,4/3/21,R,1,C,3,R1
R1C-06-01-2021,R1C,6/1/21,R,1,C,1,R1
R1C-18-02-2021,R1C,18/02/2021,R,1,C,2,R1
R1C-18-03-2021,R1C,18/03/2021,R,1,C,3,R1
R1C-21-01-2021,R1C,21/01/2021,R,1,C,1,R1
R1C-26-11-2020,R1C,26/11/2020,R,1,C,11,R1
R1N-01-04-2021,R1N,1/4/21,R,1,N,4,R1
R1N-04-02-2021,R1N,4/2/21,R,1,N,2,R1
R1N-04-03-2021,R1N,4/3/21,R,1,N,3,R1
R1N-15-10-2020,R1N,15/10/2020,R,1,N,10,R1
R1N-18-02-2021,R1N,18/02/2021,R,1,N,2,R1
R1N-18-03-2021,R1N,18/03/2021,R,1,N,3,R1
R1N-21-01-2021,R1N,21/01/2021,R,1,N,1,R1
R1N-26-11-2020,R1N,26/11/2020,R,1,N,11,R1
R1S-01-04-2021,R1S,1/4/21,R,1,S,4,R1
R1S-04-02-2021,R1S,4/2/21,R,1,S,2,R1
R1S-04-03-2021,R1S,4/3/21,R,1,S,3,R1
R1S-10-12-2020,R1S,10/12/20,R,1,S,12,R1
R1S-12-11-2020,R1S,12/11/20,R,1,S,11,R1
R1S-18-02-2021,R1S,18/02/2021,R,1,S,2,R1
R1S-18-03-2021,R1S,18/03/2021,R,1,S,3,R1
R1S-21-01-2021,R1S,21/01/2021,R,1,S,1,R1
R1S-26-11-2020,R1S,26/11/2020,R,1,S,11,R1
R2C-01-04-2021,R2C,1/4/21,R,2,C,4,R2
R2C-01-10-2020,R2C,1/10/20,R,2,C,10,R2
R2C-04-02-2021,R2C,4/2/21,R,2,C,2,R2
R2C-04-03-2021,R2C,4/3/21,R,2,C,3,R2
R2C-10-12-2020,R2C,10/12/20,R,2,C,12,R2
